DATE,USRECM,FEDFUNDS,PAYEMS,UNRATE,INDPRO,T10YFF
1962-01-02,0.0,2.15,54891,5.8,24.6551,1.31
1962-01-03,0.0,2.15,54891,5.8,24.6551,1.53
1962-01-04,0.0,2.15,54891,5.8,24.6551,1.24
1962-01-05,0.0,2.15,54891,5.8,24.6551,1.52
1962-01-08,0.0,2.15,54891,5.8,24.6551,2.03
1962-01-09,0.0,2.15,54891,5.8,24.6551,2.80
1962-01-10,0.0,2.15,54891,5.8,24.6551,3.57
1962-01-11,0.0,2.15,54891,5.8,24.6551,1.33
1962-01-12,0.0,2.15,54891,5.8,24.6551,1.33
1962-01-15,0.0,2.15,54891,5.8,24.6551,1.10
1962-01-16,0.0,2.15,54891,5.8,24.6551,1.63
1962-01-17,0.0,2.15,54891,5.8,24.6551,1.12
1962-01-18,0.0,2.15,54891,5.8,24.6551,1.86
1962-01-19,0.0,2.15,54891,5.8,24.6551,2.11
1962-01-22,0.0,2.15,54891,5.8,24.6551,2.84
1962-01-23,0.0,2.15,54891,5.8,24.6551,3.61
1962-01-24,0.0,2.15,54891,5.8,24.6551,3.85
1962-01-25,0.0,2.15,54891,5.8,24.6551,2.11
1962-01-26,0.0,2.15,54891,5.8,24.6551,1.61
1962-01-29,0.0,2.15,54891,5.8,24.6551,1.62
1962-01-30,0.0,2.15,54891,5.8,24.6551,2.61
1962-01-31,0.0,2.15,54891,5.8,24.6551,2.60
1962-02-01,0.0,2.37,55188,5.5,25.0584,1.84
1962-02-02,0.0,2.37,55188,5.5,25.0584,2.58
1962-02-05,0.0,2.37,55188,5.5,25.0584,2.07
1962-02-06,0.0,2.37,55188,5.5,25.0584,1.31
1962-02-07,0.0,2.37,55188,5.5,25.0584,1.32
1962-02-08,0.0,2.37,55188,5.5,25.0584,1.32
1962-02-09,0.0,2.37,55188,5.5,25.0584,1.30
1962-02-13,0.0,2.37,55188,5.5,25.0584,2.28
1962-02-14,0.0,2.37,55188,5.5,25.0584,1.28
1962-02-15,0.0,2.37,55188,5.5,25.0584,1.27
1962-02-16,0.0,2.37,55188,5.5,25.0584,1.52
1962-02-19,0.0,2.37,55188,5.5,25.0584,1.51
1962-02-20,0.0,2.37,55188,5.5,25.0584,2.30
1962-02-21,0.0,2.37,55188,5.5,25.0584,2.03
1962-02-23,0.0,2.37,55188,5.5,25.0584,1.52
1962-02-26,0.0,2.37,55188,5.5,25.0584,1.50
1962-02-27,0.0,2.37,55188,5.5,25.0584,1.51
1962-02-28,0.0,2.37,55188,5.5,25.0584,1.25
1962-03-01,0.0,2.85,55275,5.6,25.1929,1.48
1962-03-02,0.0,2.85,55275,5.6,25.1929,1.23
1962-03-05,0.0,2.85,55275,5.6,25.1929,1.25
1962-03-06,0.0,2.85,55275,5.6,25.1929,1.26
1962-03-07,0.0,2.85,55275,5.6,25.1929,1.00
1962-03-08,0.0,2.85,55275,5.6,25.1929,1.23
1962-03-09,0.0,2.85,55275,5.6,25.1929,0.96
1962-03-12,0.0,2.85,55275,5.6,25.1929,0.94
1962-03-13,0.0,2.85,55275,5.6,25.1929,1.17
1962-03-14,0.0,2.85,55275,5.6,25.1929,1.18
1962-03-15,0.0,2.85,55275,5.6,25.1929,1.21
1962-03-16,0.0,2.85,55275,5.6,25.1929,1.21
1962-03-19,0.0,2.85,55275,5.6,25.1929,0.93
1962-03-20,0.0,2.85,55275,5.6,25.1929,1.16
1962-03-21,0.0,2.85,55275,5.6,25.1929,0.86
1962-03-22,0.0,2.85,55275,5.6,25.1929,0.83
1962-03-23,0.0,2.85,55275,5.6,25.1929,0.87
1962-03-26,0.0,2.85,55275,5.6,25.1929,0.89
1962-03-27,0.0,2.85,55275,5.6,25.1929,1.15
1962-03-28,0.0,2.85,55275,5.6,25.1929,0.90
1962-03-29,0.0,2.85,55275,5.6,25.1929,0.90
1962-03-30,0.0,2.85,55275,5.6,25.1929,1.11
1962-04-02,0.0,2.78,55602,5.6,25.2466,1.11
1962-04-03,0.0,2.78,55602,5.6,25.2466,1.08
1962-04-04,0.0,2.78,55602,5.6,25.2466,1.53
1962-04-05,0.0,2.78,55602,5.6,25.2466,1.09
1962-04-06,0.0,2.78,55602,5.6,25.2466,1.06
1962-04-09,0.0,2.78,55602,5.6,25.2466,1.08
1962-04-10,0.0,2.78,55602,5.6,25.2466,1.08
1962-04-11,0.0,2.78,55602,5.6,25.2466,0.87
1962-04-12,0.0,2.78,55602,5.6,25.2466,0.86
1962-04-13,0.0,2.78,55602,5.6,25.2466,0.85
1962-04-16,0.0,2.78,55602,5.6,25.2466,1.08
1962-04-17,0.0,2.78,55602,5.6,25.2466,1.07
1962-04-18,0.0,2.78,55602,5.6,25.2466,0.81
1962-04-19,0.0,2.78,55602,5.6,25.2466,0.82
1962-04-23,0.0,2.78,55602,5.6,25.2466,0.86
1962-04-24,0.0,2.78,55602,5.6,25.2466,1.12
1962-04-25,0.0,2.78,55602,5.6,25.2466,0.88
1962-04-26,0.0,2.78,55602,5.6,25.2466,0.89
1962-04-27,0.0,2.78,55602,5.6,25.2466,1.36
1962-04-30,0.0,2.78,55602,5.6,25.2466,1.36
1962-05-01,0.0,2.36,55628,5.5,25.2197,1.35
1962-05-02,0.0,2.36,55628,5.5,25.2197,1.11
1962-05-03,0.0,2.36,55628,5.5,25.2197,1.11
1962-05-04,0.0,2.36,55628,5.5,25.2197,1.12
1962-05-07,0.0,2.36,55628,5.5,25.2197,1.11
1962-05-08,0.0,2.36,55628,5.5,25.2197,1.10
1962-05-09,0.0,2.36,55628,5.5,25.2197,1.32
1962-05-10,0.0,2.36,55628,5.5,25.2197,1.08
1962-05-11,0.0,2.36,55628,5.5,25.2197,1.57
1962-05-14,0.0,2.36,55628,5.5,25.2197,1.60
1962-05-15,0.0,2.36,55628,5.5,25.2197,1.37
1962-05-16,0.0,2.36,55628,5.5,25.2197,0.86
1962-05-17,0.0,2.36,55628,5.5,25.2197,1.37
1962-05-18,0.0,2.36,55628,5.5,25.2197,1.68
1962-05-21,0.0,2.36,55628,5.5,25.2197,1.44
